batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
5,greedy,5660,3,23.4,23.39180627,4,1.286537086,1.53295138,-0.632209492,0,-1.27023076,5,0,0.040574596,0,2.257120698,9.399946625,4.473769032,-10
5,greedy,300,1.4,2.6,9.232471561,4,0.838128621,1.308829301,-1.107293515,0,0,5,0,0,0,3.059564315,8.346697427,5.622554329,-10
5,greedy,400,1.2,2.6,8.775637531,4,0.937893121,1.450572263,-0.345062923,0,0,5,0,0,0,2.789348932,7.664261971,6.261640621,-10
5,greedy,1660,2,10.8,14.22982059,4,0.273368485,1.300953866,0,0,-0.769665804,5,0,0,0,2.996105522,9.436821916,5.590004573,-10
5,greedy,0,1,0,4.050664806,4,0,0.838819753,0,0,0,5,0,0,0,2.594466289,12.33449778,5.321541275,-10
5,greedy,13920,3.8,38,41.7018712,4,3.823187797,1.894294572,-7.529475179,-8.22919651,-8.765841058,1.89433003,-5.072823748,2.99005094,0,2.114826772,1.295781871,3.682200899,-9.843849866
5,greedy,8780,3.2,29,31.71725082,4,3.648713802,1.205733423,-6.559684914,-10,-9.899072259,2.097030903,-6.354249628,2.766775864,-0.403934198,1.672414458,3.046564861,4.93991798,-10
5,greedy,11840,3.2,32,34.04857745,4,3.448463527,3.113386332,-8.779282567,-9.168040563,-8.496365727,2.75688283,-6.26941589,2.234075867,0,2.409545468,2.871746276,3.444825088,-7.831797211
5,greedy,1400,2,8,17.05157909,4,3.491324625,2.829858867,-7.474980029,-9.710022018,-10,2.424082998,-4.370222969,3.752899804,0,1.633501739,0,2.261298518,-9.299946904
5,greedy,12580,3.6,34.6,39.0628253,4,3.599987818,2.139302936,-7.784453968,-5.543708836,-6.273002886,1.506040775,-5.016120423,2.403248026,-0.028016122,2.679708158,4.554825945,5.461233805,-10
